features_top_n,importance
END_DATE,0.11369510550571732
PUBLISH_DATE,0.06370111522298028
ACT_PUBTIME,0.0593587087332258
DILUTED_EPS,0.050704323973796074
END_DATE_REP,0.0482916077730182
BASIC_EPS,0.03473741898988693
RETAINED_EARNINGS,0.02471277512595663
DEFER_REVENUE,0.018757128569819505
NOPERATE_EXP,0.018487667923095245
N_INCOME_ATTR_P,0.018433368468431115
PUR_FIX_ASSETS_OTH,0.016469745893775617
N_INCOME,0.015575215165684093
COMPR_INC_ATTR_P,0.015348314616818412
T_NCL,0.015246869823146129
T_COMPR_INCOME,0.015078618549315992
PAID_IN_CAPITAL,0.014135556572424024
T_PROFIT,0.013982053627251011
T_EQUITY_ATTR_P,0.013174931254189432
OPERATE_PROFIT,0.012726558246044718
T_NCA,0.012566801499281669
CAPITAL_RESER,0.012514425747950992
T_SH_EQUITY,0.01223231858280471
LT_AMOR_EXP,0.010083780615838577
INCOME_TAX,0.009891653905045737
ST_BORR,0.009623341694140348
N_CE_END_BAL,0.008687779958533195
T_CA,0.008533238413572524
C_PAID_DIV_PROF_INT,0.008488925619700244
ADMIN_EXP,0.008358496799774923
ASSETS_IMPAIR_LOSS,0.008220799389336123
