features_top_n,importance
BASIC_EPS,0.122556195
DISP_FIX_ASSETS_OTH,0.06245886
ST_BORR,0.05114088
END_DATE,0.049924497
T_SH_EQUITY,0.03860694
PAID_IN_CAPITAL,0.032612424
RETAINED_EARNINGS,0.03156806
NOPERATE_EXP,0.028080288
PUR_FIX_ASSETS_OTH,0.021678459
C_FR_OTH_OPERATE_A,0.019431775
FINAN_EXP,0.017355967
LT_AMOR_EXP,0.016204933
CIP,0.015942989
N_CE_BEG_BAL,0.015471207
T_NCA,0.015317324
T_CL,0.014530637
SELL_EXP,0.014198297
T_NCL,0.014096129
DEFER_REVENUE,0.013170745
INVEST_INCOME,0.012848664
INCOME_TAX,0.012691942
C_INF_FR_OPERATE_A,0.012521227
N_CF_OPERATE_A,0.0119587025
PAYROLL_PAYABLE,0.011822082
INTAN_ASSETS,0.011529164
NOPERATE_INCOME,0.011334765
C_INF_FR_INVEST_A,0.011286071
AP,0.010745312
ASSETS_IMPAIR_LOSS,0.010583701
SURPLUS_RESER,0.010459972
