features_top_n,importance
END_DATE,0.07705931285625024
DILUTED_EPS,0.04111697027035344
END_DATE_REP,0.04066072447569656
PAID_IN_CAPITAL,0.033968620542743924
ACT_PUBTIME,0.02965233691824765
BASIC_EPS,0.029628626284368274
PUBLISH_DATE,0.027961450429053975
RETAINED_EARNINGS,0.02679382618302556
OTH_PAYABLE,0.01685294855676433
OPERATE_PROFIT,0.015872323414837554
ST_BORR,0.015524989797562469
C_OUTF_FR_INVEST_A,0.014385085930964532
N_INCOME_ATTR_P,0.014336682955432828
CAPITAL_RESER,0.014089949668477788
N_INCOME,0.013453920254080041
C_PAID_TO_FOR_EMPL,0.013215167369242596
T_CL,0.012889280180361708
T_PROFIT,0.012763079440574048
T_COMPR_INCOME,0.012404817166735405
OTH_RECEIV,0.01231583281037451
C_INF_FR_INVEST_A,0.012230639933812225
C_FR_SALE_G_S,0.012016077306830813
C_PAID_FOR_DEBTS,0.011922307561324456
COMPR_INC_ATTR_P,0.011857886836772896
T_REVENUE,0.011550640118261816
C_PAID_FOR_TAXES,0.011449634707098413
ASSETS_IMPAIR_LOSS,0.011272323952178772
T_EQUITY_ATTR_P,0.011137187292742044
INCOME_TAX,0.011045940164294433
T_LIAB,0.010929799635742029
