features_top_n,importance
OTH_PAYABLE,0.06279817812792278
BASIC_EPS,0.06079301024571915
DILUTED_EPS,0.05915004356897915
RETAINED_EARNINGS,0.044820375892379076
ASSETS_IMPAIR_LOSS,0.04236003824433851
PAID_IN_CAPITAL,0.0316698158713383
C_INF_FR_INVEST_A,0.028371313397787444
LT_AMOR_EXP,0.02617754110480276
END_DATE,0.025442429361694715
C_OUTF_FR_INVEST_A,0.024446045427150894
OTH_RECEIV,0.021235809319958106
NOPERATE_EXP,0.02044091181657736
N_CF_FR_INVEST_A,0.017819258821290422
N_INCOME,0.015339831716310452
T_PROFIT,0.015089133816802937
OPERATE_PROFIT,0.0147388460986127
N_INCOME_ATTR_P,0.014089499671400618
COMPR_INC_ATTR_P,0.011985969749408599
PUBLISH_DATE,0.011969218891099764
T_COMPR_INCOME,0.011473044565355979
END_DATE_REP,0.01126312083907558
INCOME_TAX,0.011222174904054872
DEFER_REVENUE,0.011126113056323668
ACT_PUBTIME,0.011106050782994197
N_CF_FR_FINAN_A,0.011035259301755926
ST_BORR,0.01095216805904119
CIP,0.010767310665093401
T_NCL,0.01066371725863643
NOTES_RECEIV,0.010214858138811858
PUR_FIX_ASSETS_OTH,0.009816609380907684
