features_top_n,importance
BASIC_EPS,0.11975393911107139
OTH_PAYABLE,0.055096744720299115
END_DATE,0.046720208101286013
RETAINED_EARNINGS,0.046108202756109454
C_OUTF_FR_INVEST_A,0.0367057218493176
ASSETS_IMPAIR_LOSS,0.029939288226084614
PAID_IN_CAPITAL,0.028442652583507647
DILUTED_EPS,0.026305905037298384
C_INF_FR_INVEST_A,0.023399319575983967
LT_AMOR_EXP,0.02318510356635225
END_DATE_REP,0.020157261071905498
T_CA,0.017338165366208566
OTH_RECEIV,0.014807215876070588
NOPERATE_EXP,0.014350527093413152
C_PAID_FOR_TAXES,0.01422218984776768
ACT_PUBTIME,0.013385642468327946
OTH_CA,0.013168126368910255
CIP,0.01304051553747852
ST_BORR,0.011563737493382603
CAPITAL_RESER,0.011476082918876584
FOREX_EFFECTS,0.011139221535487019
C_INF_FR_OPERATE_A,0.010336711364317325
C_PAID_TO_FOR_EMPL,0.01030780264570348
N_CF_FR_INVEST_A,0.010065542396243025
PUBLISH_DATE,0.009982667330038435
C_OUTF_OPERATE_A,0.009966680240155432
INCOME_TAX,0.00988406385986864
C_FR_BORR,0.009746560967269214
T_PROFIT,0.009598632870570976
BIZ_TAX_SURCHG,0.009053229117566435
