features_top_n,importance
BASIC_EPS,0.14286229
OTH_PAYABLE,0.0692653
T_CA,0.05719163
RETAINED_EARNINGS,0.050857466
END_DATE,0.042704485
ASSETS_IMPAIR_LOSS,0.0333164
C_OUTF_FR_INVEST_A,0.029945808
C_INF_FR_INVEST_A,0.027316798
C_INF_FR_OPERATE_A,0.024353597
C_OUTF_OPERATE_A,0.0236004
LT_AMOR_EXP,0.021708272
OTH_RECEIV,0.021616805
C_PAID_TO_FOR_EMPL,0.019820437
ADVANCE_RECEIPTS,0.01697978
PAID_IN_CAPITAL,0.015616848
BIZ_TAX_SURCHG,0.014396519
NOTES_RECEIV,0.0123997545
DISP_FIX_ASSETS_OTH,0.011972056
NOPERATE_EXP,0.011661083
DEFER_REVENUE,0.011115779
N_CF_FR_INVEST_A,0.010877444
T_PROFIT,0.010542318
C_OUTF_FR_FINAN_A,0.010422004
COMPR_INC_ATTR_P,0.010226446
T_NCL,0.010191816
MINORITY_INT,0.009817823
OTH_CA,0.009701364
N_CE_END_BAL,0.009617045
C_PAID_FOR_TAXES,0.008998408
CAPITAL_RESER,0.008826297
